id,name,followers,favourites
714,Esperan13256095,1,1
715,DianaCo99544122,1,1
716,Gar_2017,1,1
717,EliHERRROB,2,11
718,VictorParadaCD,2,7
719,Paitosami,5,1
720,037b0ae4171841d,7,0
721,JOHNNYPadillaA1,7,0
722,OpinoEnBogota,7,18
723,Ciranocardona88,7,0
724,Ruthmcubillos1,8,0
725,doraliliapinill,9,4
726,tatianambm,10,0
727,Roman32505772,10,2
728,sandrapleon,10,45
729,chiqui2190,11,7
730,EmilioGaviria9,11,5
731,dianamreyg,13,2
732,ColegioJJR,13,18
733,claudiatilaguy1,14,13
734,Pilar_Jara_R,14,15
735,psiconsultame,15,0
736,Abe_dm,16,70
737,cloylondon,24,845
738,claudiaemurcia,25,20
739,Edaralgo,25,0
740,julietalicia82,27,32
741,claudiativa,29,12
742,monicalilibena,32,212
743,sandritamgv,32,4
744,jhoannarojas23,34,85
745,dianamimr,37,11
746,edilhugoverde,40,1
747,allosorio,43,20
748,tatyspider,44,161
749,OCEREPCOLOMBIA,44,3
750,ColeMonteHelena,44,40
751,HeybyF,46,382
752,barabroth,51,1
753,FDMBOGOTA,53,3
754,diegoleonbu,54,1116
755,alyapure,55,3
756,rigoes24,55,26
757,colfederico5,57,45
758,nancyroa81,60,0
759,Noticiero_NPM,65,52
760,FulviaLValderr2,65,165
761,Giovanny_Suarez,66,426
762,carobasto,83,226
763,carlosremolina6,84,0
764,IEDSanMartin,84,1
765,chuniza1,87,0
766,DileBUnidos,94,50
767,EdwinPechulpo,94,1103
768,mabricort,96,30
769,andre10q,96,28
770,MarenaPaola,97,376
771,DixonCarrascalP,98,8
772,MagnoliaAgudel1,98,32
773,Juanitoseperdio,100,889
774,marthik125,103,1240
775,teusaquillocr,106,799
776,NANISFK,109,103
777,marianochalarc1,113,205
778,davidperezceped,114,103
779,ivand161,118,2
780,mfonsecakennedy,122,516
781,ConcejalCr16,122,11
782,RedDistriDocInv,123,30
783,marthatriana81,127,74
784,MantillaOjeda,130,350
785,NubiaRTorres,136,1015
786,edilednaarteaga,140,66
787,StefanyJimenez8,141,234
788,pabloviamigable,144,1
789,fercalejo,145,38
790,informandoco,149,3
791,hildariverarui1,158,1115
792,cpvillarreal74,159,299
793,CorpoCalidadCol,160,6
794,edoramirez13,164,335
795,EducaPrivada,177,135
796,JuanAlbertoOS,180,130
797,JoseOrlandoEdil,183,24
798,Andreacfiguer,190,1341
799,LuisCol2014,202,835
800,JairoLopezMacea,204,4
801,lidacortes19,208,1176
802,ColectivoAyA,212,210
803,rolartet,212,253
804,Pilarvianag,219,401
805,YaquelineGarayG,219,1652
806,LiNaMaGoNZaLez,221,2062
807,dmentalgraffiti,231,0
808,_andresmurcia,238,51
809,KarenSequeaC,240,351
810,BP_JMSD,247,0
811,camilfon,261,1589
812,DIE_UPN,267,3
813,millerruiz8,270,6
814,kariricaurte,272,575
815,DavidGerardoC,273,49
816,LidiaMendivelso,275,7472
817,Jaime_Moron,286,207
818,janethgarciar,292,564
819,LaCandelariaCD,295,356
820,GiselaCTorresT,298,432
821,oscarcaroedil,307,275
822,fabiandarioc1,308,112
823,HospitalSanBlas,310,0
824,corne0959,321,753
825,CarlosAEchever1,329,1011
826,DDisciplinarios,343,0
827,CCEERRCC,343,654
828,pinillawilliam1,349,157
829,Veeduria10,351,1141
830,CTPDBogota,354,0
831,RicardoCorrea45,355,28
832,BasuraCeroBta,361,39
833,puentesclau,364,1716
834,SLIS_FONTIBON,365,1654
835,cathyus,365,7531
836,asprillacarlos,368,284
837,AreaAndina,371,0
838,isabfern,374,1246
839,HospitalNazaret,386,2
840,edilcamargo,387,144
841,MARCELAOSPINAG1,389,3911
842,andresonzaga,390,193
843,Funpep_Colombia,397,2636
844,DianaCarolinaRV,399,477
845,ANGELODMOFICIAL,402,1505
846,oscarduarte90,404,122
847,Nestorafo,409,89
848,thomblalin,416,851
849,RiffMauro,427,83453
850,JavierPalacioM,428,1
851,milateusaquillo,440,2004
852,FundacionRadke,459,34
853,MMateoduque,461,1436
854,USSSanBlas,474,212
855,aprenden1clic,476,70
856,Efrenmartinezo,476,54
857,Pinkgeminis,494,590
858,ivgmz,496,1322
859,Ginars06,518,282
860,EncuentrosPedag,526,42
861,alexrubio1373,548,559
862,Andres_Fotos,553,1378
863,shejo6844,579,522
864,GermanDarioPena,580,175
865,es_comunidad,586,443
866,Mabelsua,597,1423
867,_javierospina,599,8323
868,mary_betancur,608,1029
869,venus_silva,645,0
870,Oswaldinho29,652,4398
871,pmticbogota,654,269
872,LuisHernandoP,667,89
873,John_J_Gonzalez,672,429
874,SlisMartires,680,771
875,NidodePajaroEco,716,3739
876,omarmorenoedil,741,47
877,MaCamilaRoa,758,150
878,hospitalrafaelu,765,1
879,ESE_HUS,768,59
880,HugoBarajas28,817,404
881,fabiobenavides,827,1944
882,RAULVASQUEZ2010,843,449
883,ColbertVicky,856,793
884,123_Bogota,865,65
885,DeibyOchoaP,874,2582
886,MoraDaniela,913,2559
887,VeedoraBta,963,0
888,USSVistaHermosa,991,1402
889,CifuentesNando,991,498
890,ExtraBogota,1009,7
891,TerceraVersion,1012,103
892,Somos_CaPAZes,1038,350
893,USSRafaelUribe,1040,282
894,dalejandrotc,1041,3960
895,UMBVirtual,1046,173
896,CHRISTIAN_RUU,1046,16542
897,MarioCordoba,1067,6361
898,Oitbogota,1068,353
899,hernandoquinter,1094,2716
900,SubRedSur,1105,8013
901,CarolMalaver,1107,14
902,1250capital,1124,163
903,Juancamcfly,1124,18198
904,Fdo_estupinan,1131,743
905,SIMONUBogota,1157,245
906,NoticiasBta,1164,4542
907,SubRedCentroOri,1202,4950
908,SubRedSurOcci,1235,7318
909,concejallozada,1243,11
910,SubRedNorte,1286,323
911,jaimetorresmelo,1296,578
912,cesarsalamancaR,1328,1362
913,nelsonconcejo,1343,721
914,blockjuvenil,1367,199
915,cesargarciav,1392,857
916,JohncitoMoreno,1408,11312
917,USSMeissen,1429,655
918,QuenaRibadeneir,1446,2325
919,asumapaz,1447,863
920,ConcejalRuben,1467,464
921,Odelahozz,1476,825
922,jacademycol,1478,2051
923,jero_sandino,1494,2261
924,AlfredoAlthviz,1507,5271
925,Marcela_Cubides,1542,2360
926,diazdiana23,1551,53177
927,ViveLaVejez,1556,381
928,PlazaDartesanos,1560,0
929,FNutresa,1562,673
930,mccastilloa,1610,304
931,adrymaxcyclak,1614,5895
932,AdrianaMGutierr,1638,2011
933,chernandezoso,1679,877
934,bogotaampm,1694,467
935,HORACIOESTRADA,1697,8407
936,carautentica,1710,9016
937,Escuela_Nueva,1749,1193
938,SR_ciudadania,1761,868
939,DavidBallen_bog,1804,993
940,AndresLTrujillo,1815,5054
941,USSEngativa,1822,80
942,USSSantaClara,1828,263
943,DeArtesyLetras,1834,153
944,CarlitosReveron,1841,2672
945,BogotaAbierta,1940,1092
946,DiscapacidadBog,1946,374
947,ImprentaDC,1963,5
948,eugenioseverin,1965,155
949,liliaavellaPDA,2002,129
950,TeatroElParque,2021,777
