id,value
ant,
ant.simonrodriguezi,
ant.Corpoeducacion.OrgSolidarias,12873,727
ant.Corpoeducacion.Yoriento,125680,66
ant.Corpoeducacion.ICBF_DFelicidad,2296,0
ant.Corpoeducacion.dr_bit,1257,5
ant.Corpoeducacion.UniversoyNinos,1480,17
ant.Corpoeducacion.sabrinadiazrato,5204,2650
ant.Corpoeducacion.clubdelebook,3580,14
ant.Corpoeducacion.klaudia_milena,295,64
ant.Corpoeducacion.ESADEexed,9046,3895
ant.Corpoeducacion.chuisa,1569,382
ant.Corpoeducacion.HPEDU,35289,239
ant.Corpoeducacion.matias_scovotti,1945,64
ant.Corpoeducacion.EDUCAWEB,48684,603
ant.Corpoeducacion.OEWeek,4820,89
ant.Corpoeducacion.ciudadano0,1248,154
ant.Corpoeducacion.hersysegura,2108,4748
ant.Corpoeducacion.jrafamartin,655,1908
ant.Corpoeducacion.ineverycrea,14029,3998
ant.Corpoeducacion.jacosol,1711,283
ant.Corpoeducacion.atavaldivieso,1224,772
ant.Corpoeducacion.cmogotocoro,1276,217
ant.Corpoeducacion.klout,685241,2171
ant.Corpoeducacion.AULA_SMART,1680,483
ant.Corpoeducacion.Lorenacomunica,569,21
ant.Corpoeducacion.ofertasynegocio,8054,9
ant.Corpoeducacion.Engativalcaldia,14412,3306
ant.Corpoeducacion.JuanBeka,7531,1160
ant.Corpoeducacion.PublimetroCol,76979,2930
ant.Corpoeducacion.canaltelecafe,100425,5513
ant.Corpoeducacion.estudiavirtual,2478,53
ant.Corpoeducacion.campuspartyco,31935,1461
ant.Corpoeducacion.ClaudiaBerbeo,13599,2420
ant.Corpoeducacion.edvoluntad,529,0
ant.Corpoeducacion.CSIC,919029,2435
ant.Corpoeducacion.C_Intercultural,2194,18
ant.Corpoeducacion.mialatam,1089,1009
ant.Corpoeducacion.enREDo,11907,233
ant.Corpoeducacion.Creocorp,2389,375
ant.Corpoeducacion.elcolombiano,1786569,32547
ant.Corpoeducacion.elrefugio64,31,16
ant.Corpoeducacion.jorgebarretof,198,111
ant.Corpoeducacion.johanapimiento,3793,490
ant.Corpoeducacion.YolandaRuizRCN,273279,381
ant.Corpoeducacion.PantallasAmigas,34367,1393
ant.Corpoeducacion.CarlosSantiagoL,3327,513
ant.Corpoeducacion.dieramB2,553,2008
ant.Corpoeducacion.edfutures,6792,238
ant.Corpoeducacion.tec_educativas,2119,298
ant.Corpoeducacion.RedTICColombia,4688,41
ant.Corpoeducacion.Eleducador,3124,1
ant.Corpoeducacion.freddier,75774,21998
ant.Corpoeducacion.juancribarrera,504,41
ant.Corpoeducacion.NoticiaDidacTIC,16663,9
ant.Corpoeducacion.aumebapo,1950,534
ant.Corpoeducacion.jalexp1,9888,6381
ant.Corpoeducacion.senaenred,15500,1
ant.Corpoeducacion.Educa_TIC,323,18
ant.Corpoeducacion.redcled,3544,2
ant.Corpoeducacion.olgalugonzalez,1417,36
ant.Corpoeducacion.educameta,130,1
ant.Corpoeducacion.EEColombia,3041,60
ant.Corpoeducacion.claudiaparicio,1476,2425
ant.Corpoeducacion.DocenciayTIC,346,0
ant.Corpoeducacion.maestros,61315,237
ant.Corpoeducacion.ClaudiaHurtadob,923,1653
ant.Corpoeducacion.ColombiaJoven,62593,8427
ant.Corpoeducacion.xarxatic,13991,699
ant.Corpoeducacion.MalokaBogota,10687,3752
ant.Corpoeducacion.ColombiaMoodle,1183,10
ant.Corpoeducacion.programa2mp,1543,199
ant.Corpoeducacion.AlertaBogota,40726,22
ant.Corpoeducacion.educacion3_0,140684,402
ant.Corpoeducacion.mtorne8,4653,1422
ant.Corpoeducacion.KarinaRedondo,497,1167
ant.Corpoeducacion.RedUNISIC,305,0
ant.Corpoeducacion.lindacq,13081,2904
ant.Corpoeducacion.educacionTIC,113848,276
ant.Corpoeducacion.edutuiter,9715,50
ant.Corpoeducacion.playFunBox,853,44
ant.Corpoeducacion.Fundacion_Beca,7612,226
ant.Corpoeducacion.Colciencias,132592,12239
ant.Corpoeducacion.edwinievesm,126,668
ant.Corpoeducacion.MichaelEPorter,157246,123
ant.Corpoeducacion.Harvard,858544,7277
ant.Corpoeducacion.harvardmed,234390,4864
ant.Corpoeducacion.Davidhachette,1723,3
ant.Corpoeducacion.nuriavilanova,15417,1027
ant.Corpoeducacion.RAEinforma,1185835,873
ant.Corpoeducacion.frankstrada,124034,806
ant.Corpoeducacion.edoome,1369,92
ant.Corpoeducacion.CorferiasBogota,97710,7834
ant.Corpoeducacion.INEXMODA,314202,1329
ant.Corpoeducacion.joannaprieto,11974,13226
ant.Corpoeducacion.hootsuite,7966483,22515
ant.Corpoeducacion.unimagdalena,18673,547
ant.Corpoeducacion.puntoCO,19217,1797
ant.Corpoeducacion.elespectador,4598319,18754
ant.Corpoeducacion.togethercounts,15384,814
ant.Corpoeducacion.Citytv,2663212,3150
ant.Corpoeducacion.unab_online,15543,4810
ant.Corpoeducacion.elivillota,1024,347
ant.Corpoeducacion.Poligran,41274,3155
ant.Corpoeducacion.TEDTalks,10995917,4727
ant.Corpoeducacion.ENTERCO,455318,4081
ant.Corpoeducacion.lasallistas,6519,404
ant.Corpoeducacion.funsurtigas,4733,2796
ant.Corpoeducacion.RevistaSemana,4054267,2498
ant.Corpoeducacion.GenesisColombia,1070,191
ant.Corpoeducacion.MrTitus,1269,373
